origin_dist,gene_length,replichore
908001,1298,0
908377,407,1
908938,521,1
909348,254,0
909595,200,0
909946,896,1
909961,545,0
910503,422,0
910681,710,1
910939,710,0
911656,251,0
911899,980,0
912420,1733,1
913083,823,0
913609,1098,1
913960,1718,0
915136,1517,1
915727,548,1
915790,707,0
915975,125,1
916494,404,0
917016,815,0
917425,1448,1
917606,134,1
917871,653,0
918517,1031,0
919736,572,0
919780,1919,1
920268,488,1
921671,1367,1
923026,1319,1
924441,1400,1
926113,803,0
926913,914,0
927476,2870,1
928068,800,0
928252,779,1
928946,770,0
929631,1328,1
929764,1358,0
931194,755,0
931983,722,0
932702,467,0
932732,3098,1
933234,731,0
933632,578,1
934505,770,1
934505,785,0
935427,479,0
935916,914,0
936178,1625,1
936874,482,0
937151,932,1
937380,1352,0
938584,1385,1
938743,3464,0
939848,1211,1
941102,1196,1
942286,1412,0
942350,1190,1
943703,743,0
944443,2765,0
944604,1778,1
945123,479,1
945998,878,1
947217,761,0
947983,1331,0
948306,2297,1
948724,191,1
949317,524,0
949476,755,1
949838,1280,0
951143,1082,0
951472,1652,1
951969,365,1
952189,1850,0
952543,513,1
953198,665,1
953468,260,1
954043,413,0
954237,767,1
954463,1475,0
954976,730,1
955365,392,1
955719,293,1
955989,224,0
956221,431,1
956248,500,0
956976,497,1
957445,518,0
957661,713,1
957915,240,1
957996,137,0
958173,2141,0
958266,331,1
958997,734,1
959593,580,1
959807,272,1
960241,431,1
960390,4061,0
961084,446,1
961545,442,1
961621,188,1
